M2_min P(M2_min)
0 -nan
0.0015 0.0548262
0.003 0.109131
0.0045 0.162976
0.006 0.216373
0.0075 0.269341
0.009 0.321885
0.0105 0.374012
0.012 0.425731
0.0135 0.477048
0.015 0.527969
0.0165 0.578501
0.018 0.62865
0.0195 0.678421
0.021 0.727819
0.0225 0.776851
0.024 0.82552
0.0255 0.873833
0.027 0.921794
0.0285 0.969408
0.03 1.01668
0.0315 1.06361
0.033 1.11021
0.0345 1.15648
0.036 1.20243
0.0375 1.24805
0.039 1.29336
0.0405 1.33836
0.042 1.38305
0.0435 1.42743
0.045 1.47151
0.0465 1.5153
0.048 1.5588
0.0495 1.60196
0.051 1.6449
0.0525 1.68753
0.054 1.72989
0.0555 1.77196
0.057 1.81376
0.0585 1.85529
0.06 1.89655
0.0615 1.93755
0.063 1.97829
0.0645 2.01877
0.066 2.05899
0.0675 2.09896
0.069 2.13869
0.0705 2.17816
0.072 2.21739
0.0735 2.25638
0.075 2.29513
0.0765 2.33364
0.078 2.37191
0.0795 2.40996
0.081 2.44778
0.0825 2.48537
0.084 2.52273
0.0855 2.55987
0.087 2.59679
0.0885 2.6335
0.09 2.66999
0.0915 2.70626
0.093 2.74232
0.0945 2.77818
0.096 2.81382
0.0975 2.84926
0.099 2.8845
0.1005 2.91953
0.102 2.95437
0.1035 2.98901
0.105 3.02345
0.1065 3.05769
0.108 3.09175
0.1095 3.12561
0.111 3.15928
0.1125 3.19277
0.114 3.22607
0.1155 3.25918
0.117 3.29211
0.1185 3.32486
0.12 3.35743
0.1215 3.38982
0.123 3.42209
0.1245 3.45405
0.126 3.48594
0.1275 3.51763
0.129 3.54915
0.1305 3.5805
0.132 3.61168
0.1335 3.6427
0.135 3.67354
0.1365 3.70422
0.138 3.73474
0.1395 3.76509
0.141 3.79528
0.1425 3.82531
0.144 3.85519
0.1455 3.8849
0.147 3.91445
0.1485 3.94385
0.15 3.97309
0.1515 4.00218
0.153 4.03111
0.1545 4.0599
0.156 4.08853
0.1575 4.11701
0.159 4.14534
0.1605 4.17352
0.162 4.20155
0.1635 4.22944
0.165 4.25717
0.1665 4.28471
0.168 4.31226
0.1695 4.33952
0.171 4.36669
0.1725 4.39371
0.174 4.42058
0.1755 4.44732
0.177 4.47392
0.1785 4.50038
0.18 4.5267
0.1815 4.55288
0.183 4.57892
0.1845 4.60483
0.186 4.6306
0.1875 4.65623
0.189 4.68173
0.1905 4.70709
0.192 4.73232
0.1935 4.75742
0.195 4.78238
0.1965 4.80721
0.198 4.83191
0.1995 4.85648
0.201 4.88091
0.2025 4.90521
0.204 4.92939
0.2055 4.95345
0.207 4.97728
0.2085 5.00113
0.21 5.02478
0.2115 5.0483
0.213 5.0717
0.2145 5.09497
0.216 5.11811
0.2175 5.14112
0.219 5.164
0.2205 5.18676
0.222 5.20939
0.2235 5.23189
0.225 5.25426
0.2265 5.27651
0.228 5.29864
0.2295 5.32063
0.231 5.3425
0.2325 5.36425
0.234 5.38579
0.2355 5.40737
0.237 5.42882
0.2385 5.44998
0.24 5.4711
0.2415 5.49209
0.243 5.51296
0.2445 5.5337
0.246 5.55432
0.2475 5.57482
0.249 5.59519
0.2505 5.61544
0.252 5.63556
0.2535 5.65556
0.255 5.67543
0.2565 5.69518
0.258 5.7148
0.2595 5.7343
0.261 5.75368
0.2625 5.77293
0.264 5.79206
0.2655 5.81106
0.267 5.82993
0.2685 5.84868
0.27 5.86731
0.2715 5.88583
0.273 5.90409
0.2745 5.92243
0.276 5.94055
0.2775 5.95855
0.279 5.97642
0.2805 5.99417
0.282 6.01178
0.2835 6.02927
0.285 6.04664
0.2865 6.06387
0.288 6.08098
0.2895 6.09796
0.291 6.11481
0.2925 6.13153
0.294 6.14813
0.2955 6.16459
0.297 6.18093
0.2985 6.19714
0.3 6.21321
0.3015 6.22916
0.303 6.24498
0.3045 6.26066
0.306 6.27622
0.3075 6.29164
0.309 6.30693
0.3105 6.3221
0.312 6.3371
0.3135 6.3521
0.315 6.36678
0.3165 6.38141
0.318 6.39591
0.3195 6.41027
0.321 6.4245
0.3225 6.43859
0.324 6.45255
0.3255 6.46637
0.327 6.48006
0.3285 6.49361
0.33 6.50702
0.3315 6.5203
0.333 6.53344
0.3345 6.54644
0.336 6.5593
0.3375 6.57202
0.339 6.58461
0.3405 6.59705
0.342 6.60936
0.3435 6.62152
0.345 6.63354
0.3465 6.64548
0.348 6.65714
0.3495 6.66866
0.351 6.6802
0.3525 6.69151
0.354 6.70267
0.3555 6.71369
0.357 6.72456
0.3585 6.73528
0.36 6.74586
0.3615 6.75629
0.363 6.76658
0.3645 6.77672
0.366 6.7867
0.3675 6.79654
0.369 6.80612
0.3705 6.81573
0.372 6.82519
0.3735 6.8345
0.375 6.84349
0.3765 6.85242
0.378 6.86121
0.3795 6.86983
0.381 6.87831
0.3825 6.88663
0.384 6.8948
0.3855 6.90281
0.387 6.91067
0.3885 6.91837
0.39 6.92592
0.3915 6.93331
0.393 6.94054
0.3945 6.94761
0.396 6.95453
0.3975 6.96128
0.399 6.9678
0.4005 6.97432
0.402 6.98059
0.4035 6.98681
0.405 6.99266
0.4065 6.99834
0.408 7.00408
0.4095 7.00954
0.411 7.01485
0.4125 7.01998
0.414 7.02496
0.4155 7.02976
0.417 7.03441
0.4185 7.03888
0.42 7.04319
0.4215 7.04733
0.423 7.05131
0.4245 7.05512
0.426 7.05875
0.4275 7.06222
0.429 7.06552
0.4305 7.06865
0.432 7.07161
0.4335 7.0744
0.435 7.07702
0.4365 7.07947
0.438 7.08175
0.4395 7.08385
0.441 7.08578
0.4425 7.08748
0.444 7.08917
0.4455 7.09068
0.447 7.09178
0.4485 7.09285
0.45 7.09374
0.4515 7.09445
0.453 7.095
0.4545 7.09536
0.456 7.09555
0.4575 7.09557
0.459 7.09541
0.4605 7.09507
0.462 7.09456
0.4635 7.09387
0.465 7.093
0.4665 7.09196
0.468 7.09074
0.4695 7.08934
0.471 7.08776
0.4725 7.08601
0.474 7.08418
0.4755 7.08202
0.477 7.07967
0.4785 7.07716
0.48 7.07447
0.4815 7.07162
0.483 7.06859
0.4845 7.06539
0.486 7.06203
0.4875 7.05849
0.489 7.05479
0.4905 7.05091
0.492 7.04686
0.4935 7.04264
0.495 7.03825
0.4965 7.03368
0.498 7.02876
0.4995 7.02378
0.501 7.01862
0.5025 7.01328
0.504 7.00776
0.5055 7.00206
0.507 6.99618
0.5085 6.99012
0.51 6.98389
0.5115 6.97748
0.513 6.97089
0.5145 6.96412
0.516 6.95717
0.5175 6.95004
0.519 6.94274
0.5205 6.93526
0.522 6.92761
0.5235 6.91989
0.525 6.9118
0.5265 6.90352
0.528 6.89522
0.5295 6.88669
0.531 6.87798
0.5325 6.86909
0.534 6.86003
0.5355 6.8508
0.537 6.84139
0.5385 6.83181
0.54 6.82206
0.5415 6.81213
0.543 6.80204
0.5445 6.79177
0.546 6.78133
0.5475 6.77072
0.549 6.75994
0.5505 6.74899
0.552 6.73788
0.5535 6.72659
0.555 6.71514
0.5565 6.70353
0.558 6.69174
0.5595 6.6798
0.561 6.66759
0.5625 6.6554
0.564 6.64304
0.5655 6.63037
0.567 6.61761
0.5685 6.60468
0.57 6.5916
0.5715 6.57836
0.573 6.56496
0.5745 6.5514
0.576 6.53769
0.5775 6.52382
0.579 6.5098
0.5805 6.49562
0.582 6.48129
0.5835 6.46681
0.585 6.45218
0.5865 6.43739
0.588 6.42246
0.5895 6.40738
0.591 6.39227
0.5925 6.37687
0.594 6.36132
0.5955 6.34564
0.597 6.32981
0.5985 6.31386
0.6 6.29777
0.6015 6.28155
0.603 6.26519
0.6045 6.24871
0.606 6.2321
0.6075 6.21535
0.609 6.19834
0.6105 6.18129
0.612 6.16412
0.6135 6.14682
0.615 6.12939
0.6165 6.11183
0.618 6.09414
0.6195 6.07634
0.621 6.0584
0.6225 6.04035
