M2_min P(M2_min)
0 -nan
0.0015 0.0623543
0.003 0.124108
0.0045 0.185336
0.006 0.246052
0.0075 0.306279
0.009 0.366021
0.0105 0.42529
0.012 0.484086
0.0135 0.542433
0.015 0.600328
0.0165 0.65778
0.018 0.714795
0.0195 0.771379
0.021 0.827539
0.0225 0.883266
0.024 0.938598
0.0255 0.993523
0.027 1.04805
0.0285 1.10217
0.03 1.15591
0.0315 1.20925
0.033 1.26226
0.0345 1.31484
0.036 1.36706
0.0375 1.41893
0.039 1.47043
0.0405 1.52157
0.042 1.57237
0.0435 1.62281
0.045 1.67289
0.0465 1.72266
0.048 1.77209
0.0495 1.82119
0.051 1.86996
0.0525 1.91842
0.054 1.96655
0.0555 2.01437
0.057 2.06187
0.0585 2.10907
0.06 2.15596
0.0615 2.20256
0.063 2.24885
0.0645 2.29485
0.066 2.34056
0.0675 2.38598
0.069 2.43112
0.0705 2.47597
0.072 2.52055
0.0735 2.56485
0.075 2.60888
0.0765 2.65264
0.078 2.69613
0.0795 2.73936
0.081 2.78232
0.0825 2.82503
0.084 2.86748
0.0855 2.90968
0.087 2.95163
0.0885 2.99332
0.09 3.03478
0.0915 3.07598
0.093 3.11695
0.0945 3.15768
0.096 3.19817
0.0975 3.23842
0.099 3.27845
0.1005 3.31824
0.102 3.3578
0.1035 3.39714
0.105 3.43626
0.1065 3.47515
0.108 3.51382
0.1095 3.55227
0.111 3.59051
0.1125 3.62853
0.114 3.66634
0.1155 3.70394
0.117 3.74133
0.1185 3.77851
0.12 3.81549
0.1215 3.85226
0.123 3.88883
0.1245 3.9252
0.126 3.96137
0.1275 3.99734
0.129 4.03312
0.1305 4.0687
0.132 4.10409
0.1335 4.13928
0.135 4.17429
0.1365 4.2091
0.138 4.24373
0.1395 4.27817
0.141 4.31243
0.1425 4.3465
0.144 4.38039
0.1455 4.4141
0.147 4.44762
0.1485 4.48097
0.15 4.51414
0.1515 4.54713
0.153 4.57995
0.1545 4.61259
0.156 4.64506
0.1575 4.67736
0.159 4.70948
0.1605 4.74143
0.162 4.77322
0.1635 4.80483
0.165 4.83628
0.1665 4.86756
0.168 4.89867
0.1695 4.92962
0.171 4.9604
0.1725 4.99102
0.174 5.02148
0.1755 5.05177
0.177 5.08191
0.1785 5.11188
0.18 5.14169
0.1815 5.17148
0.183 5.20095
0.1845 5.23025
0.186 5.2594
0.1875 5.28839
0.189 5.31722
0.1905 5.34595
0.192 5.37451
0.1935 5.40291
0.195 5.43116
0.1965 5.45925
0.198 5.48719
0.1995 5.51498
0.201 5.54262
0.2025 5.5701
0.204 5.59744
0.2055 5.62462
0.207 5.65165
0.2085 5.67853
0.21 5.70527
0.2115 5.73185
0.213 5.75829
0.2145 5.78457
0.216 5.81071
0.2175 5.8367
0.219 5.86254
0.2205 5.88824
0.222 5.91379
0.2235 5.93919
0.225 5.96444
0.2265 5.98955
0.228 6.01451
0.2295 6.03932
0.231 6.06399
0.2325 6.08851
0.234 6.11289
0.2355 6.13712
0.237 6.1612
0.2385 6.18514
0.24 6.20894
0.2415 6.23258
0.243 6.25609
0.2445 6.27944
0.246 6.30265
0.2475 6.32572
0.249 6.34864
0.2505 6.37141
0.252 6.39404
0.2535 6.41653
0.255 6.43886
0.2565 6.46106
0.258 6.4831
0.2595 6.505
0.261 6.52676
0.2625 6.54836
0.264 6.56982
0.2655 6.59114
0.267 6.61231
0.2685 6.63333
0.27 6.6542
0.2715 6.67493
0.273 6.69551
0.2745 6.71594
0.276 6.73622
0.2775 6.75636
0.279 6.77635
0.2805 6.79618
0.282 6.81587
0.2835 6.83541
0.285 6.8548
0.2865 6.87404
0.288 6.89313
0.2895 6.91207
0.291 6.93086
0.2925 6.9495
0.294 6.96799
0.2955 6.98632
0.297 7.0045
0.2985 7.02253
0.3 7.04041
0.3015 7.05813
0.303 7.0757
0.3045 7.09311
0.306 7.11037
0.3075 7.12748
0.309 7.14443
0.3105 7.16122
0.312 7.17786
0.3135 7.19433
0.315 7.21066
0.3165 7.22682
0.318 7.24282
0.3195 7.25867
0.321 7.27436
0.3225 7.28988
0.324 7.30525
0.3255 7.32045
0.327 7.3355
0.3285 7.35038
0.33 7.3651
0.3315 7.37965
0.333 7.39404
0.3345 7.40827
0.336 7.42233
0.3375 7.43623
0.339 7.44996
0.3405 7.46352
0.342 7.47692
0.3435 7.49014
0.345 7.5032
0.3465 7.51609
0.348 7.52882
0.3495 7.54137
0.351 7.55374
0.3525 7.56595
0.354 7.57799
0.3555 7.58985
0.357 7.60154
0.3585 7.61306
0.36 7.6244
0.3615 7.63556
0.363 7.64655
0.3645 7.65736
0.366 7.668
0.3675 7.67845
0.369 7.68873
0.3705 7.69883
0.372 7.70875
0.3735 7.71849
0.375 7.72804
0.3765 7.73742
0.378 7.74661
0.3795 7.75562
0.381 7.76445
0.3825 7.77309
0.384 7.78154
0.3855 7.78981
0.387 7.79789
0.3885 7.80579
0.39 7.8135
0.3915 7.82102
0.393 7.82835
0.3945 7.83549
0.396 7.84244
0.3975 7.8492
0.399 7.85576
0.4005 7.86214
0.402 7.86832
0.4035 7.87431
0.405 7.8801
0.4065 7.8857
0.408 7.89111
0.4095 7.89631
0.411 7.90132
0.4125 7.90614
0.414 7.91075
0.4155 7.91517
0.417 7.91939
0.4185 7.92341
0.42 7.92722
0.4215 7.93084
0.423 7.93425
0.4245 7.93747
0.426 7.94048
0.4275 7.94329
0.429 7.94589
0.4305 7.94829
0.432 7.95048
0.4335 7.95247
0.435 7.95426
0.4365 7.95583
0.438 7.95721
0.4395 7.95837
0.441 7.95932
0.4425 7.96007
0.444 7.96061
0.4455 7.96094
0.447 7.96106
0.4485 7.96097
0.45 7.96067
0.4515 7.96016
0.453 7.95944
0.4545 7.9585
0.456 7.95736
0.4575 7.956
0.459 7.95443
0.4605 7.95264
0.462 7.95065
0.4635 7.94844
0.465 7.94601
0.4665 7.94337
0.468 7.94052
0.4695 7.93745
0.471 7.93417
0.4725 7.93067
0.474 7.9269
0.4755 7.92301
0.477 7.9189
0.4785 7.91458
0.48 7.91003
0.4815 7.90528
0.483 7.9003
0.4845 7.89511
0.486 7.88946
0.4875 7.8838
0.489 7.87792
0.4905 7.87183
0.492 7.86551
0.4935 7.85898
0.495 7.85224
0.4965 7.84528
0.498 7.83809
0.4995 7.8307
0.501 7.82308
0.5025 7.81525
0.504 7.8072
0.5055 7.79894
0.507 7.79046
0.5085 7.78176
0.51 7.77285
0.5115 7.76372
0.513 7.75437
0.5145 7.74481
0.516 7.73504
0.5175 7.72505
0.519 7.71484
0.5205 7.70442
0.522 7.69378
0.5235 7.68293
0.525 7.67187
0.5265 7.6606
0.528 7.64911
0.5295 7.63741
0.531 7.6255
0.5325 7.61337
0.534 7.60104
0.5355 7.58849
0.537 7.57574
0.5385 7.56277
0.54 7.5496
0.5415 7.53622
0.543 7.52263
0.5445 7.50883
0.546 7.49483
0.5475 7.48062
0.549 7.4662
0.5505 7.45159
0.552 7.43676
0.5535 7.42174
0.555 7.40651
0.5565 7.39108
0.558 7.37545
0.5595 7.35962
0.561 7.34359
0.5625 7.32736
0.564 7.31094
0.5655 7.29432
0.567 7.2775
0.5685 7.26049
0.57 7.24329
0.5715 7.22589
0.573 7.2083
0.5745 7.19052
0.576 7.17255
0.5775 7.15439
0.579 7.13605
0.5805 7.11752
0.582 7.0988
0.5835 7.0799
0.585 7.06082
0.5865 7.04155
0.588 7.02211
0.5895 7.00248
0.591 6.98268
0.5925 6.9627
0.594 6.94254
0.5955 6.92221
0.597 6.90171
0.5985 6.88103
0.6 6.86019
0.6015 6.83918
0.603 6.818
0.6045 6.79665
0.606 6.77514
0.6075 6.75346
0.609 6.73163
0.6105 6.70963
0.612 6.68747
0.6135 6.66516
0.615 6.64269
0.6165 6.62007
0.618 6.59729
0.6195 6.57437
0.621 6.55129
0.6225 6.52807
0.624 6.5047
0.6255 6.48119
0.627 6.45753
0.6285 6.43373
0.63 6.40979
0.6315 6.38572
0.633 6.36151
0.6345 6.33716
0.636 6.31268
0.6375 6.28807
0.639 6.26334
0.6405 6.23847
0.642 6.21348
0.6435 6.18837
0.645 6.16313
0.6465 6.13778
0.648 6.1123
0.6495 6.08671
0.651 6.06101
0.6525 6.03519
0.654 6.00926
0.6555 5.98323
0.657 5.95709
0.6585 5.93084
0.66 5.90449
0.6615 5.87804
0.663 5.85149
0.6645 5.82484
0.666 5.7981
0.6675 5.77127
0.669 5.74435
0.6705 5.71733
0.672 5.69023
0.6735 5.66305
0.675 5.63578
0.6765 5.60843
0.678 5.581
0.6795 5.5535
0.681 5.52592
0.6825 5.49827
0.684 5.47055
0.6855 5.44276
0.687 5.4149
