M2_min P(M2_min)
0 0
0.0075 0.247569
0.015 0.485752
0.0225 0.715196
0.03 0.93649
0.0375 1.15016
0.045 1.3567
0.0525 1.55655
0.06 1.7501
0.0675 1.93774
0.075 2.11979
0.0825 2.29657
0.09 2.46837
0.0975 2.63545
0.105 2.79806
0.1125 2.95643
0.12 3.11077
0.1275 3.26126
0.135 3.40811
0.1425 3.55148
0.15 3.69152
0.1575 3.82839
0.165 3.96222
0.1725 4.09316
0.18 4.22131
0.1875 4.3468
0.195 4.46974
0.2025 4.59022
0.21 4.70834
0.2175 4.8242
0.225 4.93788
0.2325 5.04946
0.24 5.15903
0.2475 5.26664
0.255 5.37238
0.2625 5.4763
0.27 5.57847
0.2775 5.67896
0.285 5.7778
0.2925 5.87507
0.3 5.97081
0.3075 5.99197
0.315 6.01062
0.3225 6.02655
0.33 6.04065
0.3375 6.05223
0.345 6.06112
0.3525 6.06867
0.36 6.07399
0.3675 6.07576
0.375 6.07847
0.3825 6.07745
0.39 6.07505
0.3975 6.06712
0.405 6.06378
0.4125 6.05873
0.42 6.04992
0.4275 6.03955
0.435 6.02476
0.4425 6.01438
0.45 5.99969
0.4575 5.98316
0.465 5.96607
0.4725 5.94749
0.48 5.92617
0.4875 5.90637
0.495 5.88414
0.5025 5.86003
0.51 5.83594
0.5175 5.81042
0.525 5.78387
0.5325 5.75613
0.54 5.72743
0.5475 5.69747
0.555 5.66705
0.5625 5.63545
0.57 5.60248
0.5775 5.56935
0.585 5.53513
0.5925 5.4999
0.6 5.46392
0.6075 5.42721
0.615 5.389
0.6225 5.35131
0.63 5.31189
0.6375 5.27234
0.645 5.23185
0.6525 5.19061
0.66 5.1484
0.6675 5.106
0.675 5.0627
0.6825 5.01829
0.69 4.97397
0.6975 4.92879
0.705 4.88284
0.7125 4.83638
0.72 4.78942
0.7275 4.74178
0.735 4.69362
0.7425 4.64457
0.75 4.59557
0.7575 4.54582
0.765 4.49551
0.7725 4.44442
0.78 4.3933
0.7875 4.34146
0.795 4.28898
0.8025 4.23601
0.81 4.18289
0.8175 4.12903
0.825 4.0748
0.8325 4.02021
0.84 3.96508
0.8475 3.90958
0.855 3.85332
0.8625 3.79728
0.87 3.74051
0.8775 3.6832
0.885 3.62555
0.8925 3.56782
0.9 3.50949
0.9075 3.45063
0.915 3.39139
0.9225 3.33209
0.93 3.27216
0.9375 3.21196
0.945 3.15144
0.9525 3.0906
0.96 3.02942
0.9675 2.96757
0.975 2.90602
0.9825 2.84383
0.99 2.78119
0.9975 2.71837
1.005 2.65539
1.0125 2.59196
1.02 2.52808
1.0275 2.46391
1.035 2.39974
1.0425 2.33502
1.05 2.2701
1.0575 2.20493
1.065 2.1395
1.0725 2.07377
1.08 2.0075
1.0875 1.94152
1.095 1.87503
1.1025 1.80812
1.11 1.74109
1.1175 1.67396
1.125 1.60644
1.1325 1.53852
1.14 1.47037
1.1475 1.40227
1.155 1.33378
1.1625 1.26492
1.17 1.19597
1.1775 1.12695
1.185 1.05741
1.1925 0.987791
1.2 0.917956
1.2075 0.920522
1.215 0.923075
1.2225 0.925617
1.23 0.928146
1.2375 0.930664
1.245 0.933171
1.2525 0.935666
1.26 0.938149
1.2675 0.940621
1.275 0.943082
1.2825 0.945532
1.29 0.947971
1.2975 0.950399
1.305 0.952817
1.3125 0.955224
1.32 0.95762
1.3275 0.960006
1.335 0.962382
1.3425 0.964748
1.35 0
1.3575 0
1.365 0
1.3725 0
1.38 0
1.3875 0
1.395 0
1.4025 0
1.41 0
1.4175 0
1.425 0
1.4325 0
1.44 0
1.4475 0
1.455 0
1.4625 0
1.47 0
1.4775 0
1.485 0
1.4925 0
