M1  Porb K  M2(actual) M2_min
0.25 0.5 157.182 0.617389 0.471264
0.25 0.5 163.843 0.514961 0.507596
0.25 0.5 113.74 0.837827 0.27645
0.25 0.5 118.681 0.85528 0.295308
0.25 0.5 106.81 0.557796 0.251256
0.25 0.5 144.006 0.900375 0.404818
0.25 0.5 208.235 0.843202 0.80397
0.25 0.5 110.433 0.264361 0.26425
0.25 0.5 196.125 0.712987 0.71298
0.25 0.5 95.1757 0.764245 0.212059
0.25 0.5 104.417 0.806918 0.242884
0.25 0.5 201.653 0.923437 0.753499
0.25 0.5 192.688 0.980979 0.688623
0.25 0.5 172.256 0.977768 0.556292
0.25 0.5 176.155 0.857266 0.57996
0.25 0.5 168.238 0.646832 0.532637
0.25 0.5 173.241 0.702497 0.562205
0.25 0.5 204.772 0.8349 0.777105
0.25 0.5 159.723 0.870715 0.484903
0.25 0.5 149.716 1.05766 0.432757
0.25 0.5 91.6742 0.712218 0.200979
0.25 0.5 161.402 0.871931 0.494064
0.25 0.5 174.456 0.792585 0.569558
0.25 0.5 196.861 0.726498 0.718277
0.25 0.5 150.67 0.932189 0.437553
0.25 0.5 91.2755 0.892501 0.199738
0.25 0.5 58.0224 0.200904 0.109325
0.25 0.5 46.059 0.623612 0.0823911
0.25 0.5 106.63 0.637768 0.250623
0.25 0.5 176.711 0.583449 0.583399
0.25 0.5 166.366 0.631684 0.521865
0.25 0.5 187.909 0.696924 0.655791
0.25 0.5 149.082 0.485451 0.429594
0.25 0.5 123.721 0.756562 0.315346
0.25 0.5 202.451 0.760812 0.759488
0.25 0.5 140.246 0.48159 0.387108
0.25 0.5 135.41 0.512862 0.365103
0.25 0.5 103.148 0.369691 0.238512
0.25 0.5 120.53 0.303685 0.302562
0.25 0.5 35.0534 0.694152 0.0598341
0.25 0.5 203.208 0.765492 0.7652
0.25 0.5 195.55 0.865297 0.708861
0.25 0.5 157.255 0.573448 0.471656
0.25 0.5 102.033 0.778667 0.234707
0.25 0.5 81.2519 0.796427 0.169831
0.25 0.5 135.258 0.803133 0.364425
0.25 0.5 203.065 0.764748 0.764115
0.25 0.5 203.467 0.790783 0.767162
0.25 0.5 97.8904 0.901358 0.220873
0.25 0.5 134.683 0.394904 0.36187
0.25 0.5 128.399 1.20449 0.334691
0.25 0.5 172.906 0.774627 0.560186
0.25 0.5 154.451 0.545398 0.456914
0.25 0.5 162.826 0.564281 0.501928
0.25 0.5 208.871 0.823793 0.808976
0.25 0.5 184.935 0.655601 0.635956
0.25 0.5 187.624 0.670115 0.653873
0.25 0.5 125.171 0.332346 0.321264
0.25 0.5 195.118 0.741981 0.705777
0.25 0.5 96.1383 0.666053 0.215162
0.25 0.5 119.936 0.552153 0.300221
0.25 0.5 151.274 1.07836 0.440604
0.25 0.5 139.241 0.406073 0.382463
0.25 0.5 150.018 0.580747 0.434274
0.25 0.5 106.643 0.832484 0.250669
0.25 0.5 205.58 1.05849 0.783311
0.25 0.5 57.6712 0.410178 0.108496
0.25 0.5 64.8534 0.492741 0.125933
0.25 0.5 103.558 0.757918 0.239919
0.25 0.5 58.8451 0.155153 0.111276
0.25 0.5 193.162 0.756636 0.691943
0.25 0.5 160.553 0.535977 0.489414
0.25 0.5 68.3391 0.795039 0.134774
0.25 0.5 195.856 0.86383 0.711054
0.25 0.5 75.5482 0.658972 0.153885
0.25 0.5 150.388 0.582536 0.43613
0.25 0.5 56.1376 0.704124 0.104905
0.25 0.5 112.352 0.368258 0.271291
0.25 0.5 142.049 0.873389 0.395534
0.25 0.5 198.521 0.73767 0.730334
0.25 0.5 142.838 0.637554 0.399259
0.25 0.5 87.1852 0.507078 0.187234
0.25 0.5 184.668 0.652236 0.634198
0.25 0.5 190.133 0.785721 0.670925
0.25 0.5 112.527 0.309322 0.271938
0.25 0.5 122.869 0.602211 0.3119
0.25 0.5 206.099 0.8514 0.787317
0.25 0.5 177.6 0.646274 0.588917
0.25 0.5 89.7313 0.648495 0.194968
0.25 0.5 215.691 0.93622 0.864168
0.25 0.5 114.626 0.329717 0.279778
0.25 0.5 175.593 0.576529 0.576507
0.25 0.5 154.454 0.466687 0.456929
0.25 0.5 151.827 0.825041 0.443415
0.25 0.5 118.202 0.584242 0.293446
0.25 0.5 175.188 0.639294 0.574027
0.25 0.5 229.843 1.07327 0.987778
0.25 0.5 100.339 0.953202 0.228992
0.25 0.5 166.751 0.695256 0.52407
0.25 0.5 191.308 0.69644 0.67902
