M1  Porb K  M2(actual) M2_min
0.25 0.5 189.176 0.85344 0.664383
0.25 0.5 252.988 1.33367 1.21843
0.25 0.5 73.1999 0.389848 0.147534
0.25 0.5 265.839 1.36387 1.36308
0.25 0.5 260.535 1.38271 1.30188
0.25 0.5 171.279 0.908148 0.550468
0.25 0.5 225.207 1.32604 0.9459
0.25 0.5 200.848 1.40617 0.747491
0.25 0.5 140.976 0.947815 0.390504
0.25 0.5 227.721 1.34635 0.968435
0.25 0.5 89.6576 0.324827 0.194742
0.25 0.5 156.976 0.542855 0.470175
0.25 0.5 223.551 1.38237 0.93127
0.25 0.5 168.624 0.667775 0.534873
0.25 0.5 101.585 0.465316 0.233188
0.25 0.5 203.037 0.776239 0.763903
0.25 0.5 150.25 0.528111 0.43544
0.25 0.5 88.1547 0.570575 0.19016
0.25 0.5 74.7949 0.58598 0.151834
0.25 0.5 145.439 0.414032 0.411712
0.25 0.5 256.454 1.35637 1.25624
0.25 0.5 178.967 0.711354 0.597487
0.25 0.5 97.4228 0.479434 0.219341
0.25 0.5 61.0969 0.526407 0.116685
0.25 0.5 246.011 1.14517 1.14499
0.25 0.5 80.1148 0.363612 0.166591
0.25 0.5 92.2404 0.862274 0.202749
0.25 0.5 91.6603 0.611683 0.200936
0.25 0.5 137.454 0.720232 0.374299
0.25 0.5 236.06 1.181 1.04614
0.25 0.5 199.671 1.34449 0.738778
0.25 0.5 243.703 1.33621 1.12145
0.25 0.5 213.075 0.842749 0.842673
0.25 0.5 113.404 1.33991 0.275195
0.25 0.5 196.038 1.33079 0.712354
0.25 0.5 157.665 0.490963 0.473837
0.25 0.5 180.283 0.90287 0.605815
0.25 0.5 85.5913 0.403177 0.182475
0.25 0.5 232.334 1.04122 1.01086
0.25 0.5 192.357 0.704539 0.68631
0.25 0.5 144.544 1.04914 0.407396
0.25 0.5 163.801 0.509978 0.507365
0.25 0.5 190.518 0.796597 0.673565
0.25 0.5 153.302 0.943263 0.45097
0.25 0.5 137.592 0.986001 0.374925
0.25 0.5 106.54 0.760463 0.250303
0.25 0.5 264.127 1.36414 1.3431
0.25 0.5 136.816 1.37679 0.371413
0.25 0.5 180.335 0.613618 0.606149
0.25 0.5 98.51 0.400517 0.222912
0.25 0.5 131.964 0.349942 0.34994
0.25 0.5 205.171 0.787827 0.780163
0.25 0.5 56.207 0.601368 0.105066
0.25 0.5 50.1384 0.404007 0.0912804
0.25 0.5 68.4221 1.18084 0.134988
0.25 0.5 197.524 0.723581 0.723073
0.25 0.5 212.033 0.837654 0.834222
0.25 0.5 97.5557 0.558943 0.219776
0.25 0.5 194.549 1.31427 0.701736
0.25 0.5 249.229 1.38204 1.17843
0.25 0.5 146.564 0.929594 0.417179
0.25 0.5 188.127 0.891677 0.657262
0.25 0.5 218.792 0.891978 0.890191
0.25 0.5 198.723 0.878758 0.731814
0.25 0.5 142.283 0.462577 0.396636
0.25 0.5 261.244 1.31105 1.30994
0.25 0.5 22.7006 0.488779 0.0368039
0.25 0.5 137.239 0.567839 0.373323
0.25 0.5 129.159 0.52004 0.337906
0.25 0.5 187.297 0.653241 0.651676
0.25 0.5 34.828 0.677691 0.059393
0.25 0.5 262.254 1.35268 1.32149
0.25 0.5 40.9709 0.702001 0.0717111
0.25 0.5 127.952 0.375744 0.332811
0.25 0.5 201.955 0.756688 0.755763
0.25 0.5 157.689 1.36358 0.473963
0.25 0.5 131.652 0.378221 0.348588
0.25 0.5 118.449 1.30547 0.294404
0.25 0.5 141.053 0.901272 0.390862
0.25 0.5 176.13 0.589722 0.579806
0.25 0.5 177.031 0.75855 0.585379
0.25 0.5 116.736 0.758969 0.287794
0.25 0.5 46.8834 0.379782 0.0841637
0.25 0.5 186.237 0.644956 0.644587
0.25 0.5 234.47 1.38717 1.03097
0.25 0.5 173.4 0.700426 0.563164
0.25 0.5 201.072 0.89189 0.749163
0.25 0.5 255.173 1.34059 1.24217
0.25 0.5 66.9162 0.69662 0.131134
0.25 0.5 201.972 0.756102 0.755889
0.25 0.5 175.237 1.34354 0.574322
0.25 0.5 124.741 0.397704 0.319499
0.25 0.5 261.826 1.37055 1.31658
0.25 0.5 157.853 0.476815 0.474839
0.25 0.5 196.744 0.730814 0.717434
0.25 0.5 151.274 0.879341 0.440605
0.25 0.5 161.628 0.577803 0.495305
0.25 0.5 110.446 0.420505 0.264296
0.25 0.5 114.046 1.06982 0.277598
0.25 0.5 245.689 1.30253 1.14168
