Median 1-sigma_low 1-sigma_high
0.0145 0.0118 0.01186
0.0176 0.0129 0.01458
0.0201 0.0124 0.01658
0.015 0.0119 0.0123
0.0124 0.0109 0.01013
0.0125 0.0112 0.01019
0.0107 0.0103 0.00851
0.139 0.096 0.1104
0.00952 0.01118 0.00735
0.0115 0.0099 0.00929
0.0188 0.0123 0.01558
0.012 0.0106 0.00977
0.0111 0.01 0.0089
0.0244 0.0148 0.01976
0.0188 0.0124 0.01557
0.0188 0.0124 0.01558
0.011 0.01 0.00881
0.0141 0.0118 0.01154
0.0146 0.0119 0.01195
0.00958 0.01112 0.00741
0.049 0.0378 0.0382
0.039 0.0318 0.02993
0.0247 0.0153 0.01995
0.0126 0.0113 0.01028
0.0126 0.0113 0.01027
0.012 0.0105 0.00977
0.0102 0.0107 0.00802
0.00952 0.01118 0.00735
0.0118 0.0102 0.00958
0.00952 0.01118 0.00735
0.0142 0.0118 0.01163
0.07 0.052 0.0554
0.0344 0.0262 0.02643
0.0097 0.0112 0.00753
0.0143 0.0117 0.01172
0.0117 0.0102 0.00948
0.00952 0.01118 0.00735
0.0121 0.0107 0.00987
0.011 0.0101 0.00881
0.0105 0.0104 0.00832
0.0138 0.0116 0.01128
0.0104 0.0105 0.00822
0.0175 0.0129 0.01449
0.0237 0.0142 0.01924
0.0606 0.0454 0.0477
0.0101 0.0108 0.00792
0.0145 0.0116 0.0119
0.0142 0.0118 0.01163
0.0118 0.0102 0.00958
0.086 0.065 0.068
0.0341 0.0254 0.02628
0.029 0.0203 0.02312
0.00952 0.01118 0.00735
0.0107 0.0103 0.00851
0.0109 0.0101 0.00871
0.0102 0.0107 0.00802
0.0108 0.0102 0.00861
0.0129 0.0113 0.0105
0.0239 0.0143 0.01939
0.0097 0.0112 0.00753
0.0157 0.0121 0.01293
0.0145 0.0116 0.01189
0.0131 0.0111 0.01065
0.0157 0.0122 0.01293
0.0107 0.0103 0.00851
0.0145 0.0116 0.01189
0.0105 0.0104 0.00832
0.0109 0.0101 0.00871
0.0108 0.0102 0.00861
0.0235 0.0139 0.0191
0.0104 0.0105 0.00822
0.035 0.0275 0.02679
0.0292 0.0204 0.02325
0.169 0.118 0.1344
0.0305 0.0216 0.02408
0.0118 0.0104 0.00958
0.0121 0.0107 0.00987
0.0851 0.0649 0.0673
0.0236 0.0139 0.01919
0.019 0.0123 0.01573
0.0107 0.0103 0.00851
0.0125 0.0113 0.01019
0.0109 0.0101 0.00871
0.0557 0.0423 0.0437
0.0147 0.012 0.01204
0.171 0.118 0.136
0.0112 0.0099 0.009
0.0107 0.0103 0.00851
0.0141 0.0118 0.01154
0.0109 0.0101 0.00871
0.011 0.0101 0.00881
0.0104 0.0105 0.00822
0.0106 0.0104 0.00842
0.0155 0.012 0.01275
0.0146 0.0119 0.01195
0.0489 0.0378 0.0381
0.0112 0.0099 0.009
0.0192 0.0123 0.01588
0.0158 0.0123 0.01302
0.0134 0.0113 0.01091
