Median 1-sigma_low 1-sigma_high
0.132 0.028 0.0329
0.243 0.125 0.079
0.131 0.029 0.0319
0.131 0.029 0.0319
0.131 0.029 0.0319
0.132 0.028 0.0329
0.132 0.03 0.0329
1 0 0.001
0.155 0.063 0.047
0.133 0.033 0.0338
0.138 0.036 0.038
0.154 0.058 0.047
0.443 0.151 0.118
0.131 0.029 0.0319
0.158 0.071 0.047
0.146 0.049 0.043
0.138 0.036 0.038
0.132 0.029 0.0329
0.615 0.125 0.126
0.131 0.029 0.0319
0.131 0.029 0.0319
0.151 0.058 0.044
0.133 0.031 0.0338
0.131 0.029 0.0319
0.135 0.039 0.0355
0.135 0.039 0.0354
0.165 0.082 0.046
0.209 0.113 0.064
0.161 0.077 0.045
0.198 0.108 0.059
0.131 0.029 0.0319
0.134 0.037 0.0347
0.133 0.033 0.0338
0.132 0.029 0.0329
0.135 0.039 0.0354
0.137 0.037 0.0371
0.131 0.029 0.0319
0.155 0.062 0.047
0.149 0.052 0.044
0.217 0.115 0.068
0.135 0.039 0.0354
0.178 0.1 0.046
0.139 0.035 0.038
0.134 0.036 0.0347
0.132 0.028 0.0329
1 0 0
0.171 0.085 0.051
0.171 0.087 0.05
0.164 0.082 0.045
0.138 0.036 0.038
0.933 0.06 0.054
1 0 0.001
0.138 0.036 0.038
0.139 0.035 0.038
1 0 0
0.131 0.029 0.0319
0.132 0.031 0.0329
0.694 0.107 0.126
0.131 0.029 0.0319
0.14 0.041 0.039
0.132 0.028 0.0329
0.131 0.029 0.0319
0.238 0.123 0.077
0.131 0.029 0.0319
0.133 0.031 0.0338
0.131 0.029 0.0319
0.134 0.034 0.0348
0.147 0.05 0.043
0.144 0.049 0.041
0.131 0.029 0.0319
0.131 0.029 0.0319
0.134 0.038 0.0347
0.41 0.152 0.121
0.132 0.03 0.0329
0.523 0.167 0.099
0.485 0.159 0.102
0.426 0.156 0.117
0.151 0.058 0.044
0.132 0.028 0.0329
0.135 0.038 0.0356
0.131 0.029 0.0319
0.849 0.1 0.113
0.147 0.05 0.043
0.146 0.049 0.043
0.15 0.058 0.043
0.207 0.111 0.064
0.174 0.095 0.047
0.176 0.1 0.046
0.133 0.032 0.0338
0.132 0.028 0.0329
0.131 0.029 0.0319
0.133 0.033 0.0338
0.784 0.105 0.131
0.404 0.153 0.121
0.254 0.127 0.084
0.131 0.029 0.0319
0.289 0.132 0.097
1 0 0
0.131 0.029 0.0319
0.23 0.12 0.074
