Median 1-sigma_low 1-sigma_high
0.0382 0.03 0.0211
0.044 0.0358 0.0235
0.0382 0.0301 0.0211
0.0432 0.0349 0.0232
0.0516 0.0407 0.0277
0.0883 0.1247 0.0467
0.0368 0.0296 0.0205
0.0525 0.0409 0.0283
0.147 0.301 0.0799
0.0673 0.0687 0.0358
0.0425 0.0343 0.0229
0.0488 0.0399 0.0259
0.0419 0.0337 0.0227
0.0705 0.0785 0.0374
0.264 0.472 0.142
0.0351 0.029 0.0194
0.0382 0.0301 0.0211
0.0406 0.0319 0.0222
0.0416 0.033 0.0226
0.111 0.203 0.0592
0.0356 0.0291 0.0199
0.0419 0.0336 0.0227
0.0854 0.1156 0.0452
0.081 0.101 0.0429
0.108 0.193 0.0574
0.0361 0.0294 0.0202
0.0368 0.0296 0.0205
0.0456 0.0376 0.0241
0.0457 0.0379 0.0241
0.0888 0.1262 0.047
0.0402 0.0312 0.0221
0.0784 0.0926 0.0415
0.0374 0.0298 0.0208
0.474 0.457 0.26
0.0585 0.0485 0.0315
0.0362 0.0295 0.0202
0.128 0.247 0.0699
0.0576 0.0464 0.0311
0.0603 0.0517 0.0322
0.0475 0.039 0.0251
0.0686 0.0724 0.0365
0.0354 0.0291 0.0197
0.0869 0.1201 0.046
0.0711 0.0789 0.0378
0.0407 0.0318 0.0223
0.0426 0.0343 0.023
0.133 0.261 0.0727
0.0379 0.03 0.021
0.0704 0.0776 0.0374
0.0494 0.04 0.0263
0.566 0.396 0.307
0.0382 0.03 0.0211
0.0446 0.0367 0.0237
0.0441 0.036 0.0235
0.572 0.392 0.31
0.104 0.181 0.0549
0.047 0.0389 0.0248
0.0361 0.0294 0.0202
0.201 0.4 0.1092
0.087 0.121 0.046
0.0621 0.0539 0.0331
0.063 0.056 0.0336
0.0608 0.0522 0.0324
0.0777 0.0913 0.0412
0.0431 0.0348 0.0232
0.102 0.172 0.054
0.0415 0.033 0.0226
0.483 0.452 0.265
0.0655 0.0635 0.0348
0.0455 0.0377 0.024
0.0346 0.0286 0.0192
0.0397 0.0309 0.0219
0.0462 0.0385 0.0243
0.0362 0.0294 0.0203
0.0394 0.0307 0.0217
0.185 0.373 0.1004
0.0632 0.0558 0.0337
0.0375 0.0298 0.0208
0.0594 0.0496 0.0318
0.0394 0.0306 0.0218
0.0403 0.0314 0.0221
0.14 0.281 0.0763
0.0358 0.0292 0.02
0.0392 0.0306 0.0216
0.0373 0.0298 0.0207
0.0444 0.0364 0.0236
0.0405 0.0317 0.0222
0.0368 0.0296 0.0205
0.043 0.0347 0.0231
0.193 0.39 0.1042
0.0673 0.0687 0.0358
0.058 0.048 0.0313
0.0621 0.0539 0.0331
0.102 0.176 0.0537
0.0851 0.1139 0.045
0.0356 0.0292 0.0198
0.047 0.0388 0.0248
0.0361 0.0294 0.0202
0.0922 0.1388 0.0487
0.0447 0.0366 0.0238
