M1  Porb K  M2(actual) M2_min
0.25 0.5 165.356 0.735523 0.51612
0.25 0.5 176.399 0.592576 0.581471
0.25 0.5 183.932 0.672106 0.629364
0.25 0.5 167.676 0.563529 0.529386
0.25 0.5 147.341 0.496487 0.420981
0.25 0.5 149.016 0.454024 0.429262
0.25 0.5 114.955 0.593857 0.281019
0.25 0.5 229.672 0.988999 0.986212
0.25 0.5 62.1246 0.325289 0.119186
0.25 0.5 135.185 0.604348 0.3641
0.25 0.5 179.879 0.776787 0.603248
0.25 0.5 143.343 0.557074 0.40166
0.25 0.5 127.732 0.347488 0.331887
0.25 0.5 192.941 0.933085 0.690395
0.25 0.5 180.086 0.900828 0.604563
0.25 0.5 179.9 0.649859 0.603386
0.25 0.5 124.174 0.725557 0.317188
0.25 0.5 161.66 0.910673 0.495481
0.25 0.5 165.848 0.532436 0.518912
0.25 0.5 69.138 0.845776 0.136836
0.25 0.5 212.829 0.869076 0.840669
0.25 0.5 208.081 0.976131 0.802757
0.25 0.5 193.56 0.704403 0.694745
0.25 0.5 149.815 0.817084 0.433253
0.25 0.5 150.021 0.697703 0.434287
0.25 0.5 142.587 0.473851 0.398072
0.25 0.5 95.5343 0.937506 0.213212
0.25 0.5 63.7414 0.655426 0.123165
0.25 0.5 139.761 0.851674 0.384863
0.25 0.5 46.2018 0.730855 0.0826972
0.25 0.5 161.927 0.657641 0.496951
0.25 0.5 218.834 0.922128 0.890547
0.25 0.5 204.692 1.03613 0.776497
0.25 0.5 74.8248 0.756833 0.151915
0.25 0.5 162.606 0.500889 0.500707
0.25 0.5 138.947 0.670342 0.381115
0.25 0.5 31.0832 0.309213 0.0521799
0.25 0.5 144.419 0.64364 0.406795
0.25 0.5 125.497 0.604541 0.322601
0.25 0.5 106.506 0.873905 0.250185
0.25 0.5 159.4 0.485241 0.483152
0.25 0.5 104.884 0.687943 0.244508
0.25 0.5 176.164 0.683204 0.580017
0.25 0.5 191.857 0.844247 0.682826
0.25 0.5 216.522 0.989826 0.871086
0.25 0.5 91.7697 0.655471 0.201277
0.25 0.5 163.737 0.757384 0.507005
0.25 0.5 162.165 0.522046 0.498266
0.25 0.5 139.808 0.886038 0.385079
0.25 0.5 222.462 0.960505 0.921741
0.25 0.5 204.394 0.903389 0.77422
0.25 0.5 199.375 0.872575 0.736595
0.25 0.5 27.2474 0.637704 0.0450146
0.25 0.5 116.141 1.05834 0.28552
0.25 0.5 121.634 0.421406 0.306949
0.25 0.5 92.5392 0.65038 0.203687
0.25 0.5 118.532 0.663509 0.29473
0.25 0.5 153.003 0.789675 0.449431
0.25 0.5 192.167 0.749168 0.684989
0.25 0.5 75.0506 0.513849 0.152529
0.25 0.5 170.087 0.548386 0.543429
0.25 0.5 164.373 0.638474 0.51057
0.25 0.5 154.869 1.06479 0.459091
0.25 0.5 170.265 0.934215 0.544474
0.25 0.5 117.572 0.745679 0.29101
0.25 0.5 164.237 0.862997 0.509806
0.25 0.5 106.171 0.809679 0.249006
0.25 0.5 121.256 0.430767 0.305442
0.25 0.5 118.778 0.29665 0.295685
0.25 0.5 191.513 0.820934 0.680441
0.25 0.5 100.329 0.720956 0.228961
0.25 0.5 205.156 0.826783 0.780048
0.25 0.5 199.588 0.738791 0.738163
0.25 0.5 232.296 1.01672 1.0105
0.25 0.5 201.036 0.892588 0.748895
0.25 0.5 140.89 0.593563 0.390102
0.25 0.5 144.596 0.923625 0.407648
0.25 0.5 222.29 0.94758 0.920247
0.25 0.5 191.538 0.78435 0.680612
0.25 0.5 180.648 0.887422 0.608144
0.25 0.5 116.815 0.498719 0.288098
0.25 0.5 149.354 0.471008 0.430949
0.25 0.5 123.405 0.44756 0.314065
0.25 0.5 215.166 0.870936 0.859819
0.25 0.5 166.438 0.67037 0.522279
0.25 0.5 232.472 1.05705 1.01214
0.25 0.5 130.596 0.847153 0.344035
0.25 0.5 116.265 0.45599 0.285992
0.25 0.5 161.646 0.603356 0.495401
0.25 0.5 122.945 0.505577 0.312204
0.25 0.5 125.563 0.523854 0.322874
0.25 0.5 105.018 0.369588 0.244973
0.25 0.5 111.934 0.903761 0.269746
0.25 0.5 169.438 0.5736 0.539622
0.25 0.5 166.085 0.583694 0.520262
0.25 0.5 212.798 0.960649 0.840417
0.25 0.5 130.039 0.348448 0.341653
0.25 0.5 181.369 0.775518 0.612759
0.25 0.5 170.613 0.775464 0.546529
0.25 0.5 156.989 1.11368 0.470244
