M1  Porb K  M2(actual) M2_min
0.25 0.5 122.502 0.915686 0.310422
0.25 0.5 206.091 0.929837 0.78726
0.25 0.5 73.4599 0.395391 0.148232
0.25 0.5 81.4998 0.728195 0.170541
0.25 0.5 47.149 0.796606 0.0847373
0.25 0.5 123.311 0.316341 0.313685
0.25 0.5 136.958 0.476675 0.372052
0.25 0.5 258.421 1.35139 1.27809
0.25 0.5 186.335 0.668723 0.645238
0.25 0.5 146.078 0.642114 0.41481
0.25 0.5 167.303 0.620471 0.527238
0.25 0.5 185.113 0.846512 0.63713
0.25 0.5 216.873 0.876284 0.874023
0.25 0.5 112.642 0.406947 0.272364
0.25 0.5 188.45 0.916923 0.659449
0.25 0.5 179.309 0.626163 0.599642
0.25 0.5 168.607 0.625551 0.534779
0.25 0.5 130.985 0.674735 0.34571
0.25 0.5 222.218 0.958537 0.919624
0.25 0.5 47.8866 0.560696 0.086337
0.25 0.5 94.1751 0.559445 0.208861
0.25 0.5 184.298 1.35048 0.631765
0.25 0.5 143.135 0.542753 0.40067
0.25 0.5 105.341 0.749968 0.246099
0.25 0.5 160.534 0.611154 0.489308
0.25 0.5 161.37 0.687489 0.493888
0.25 0.5 192.441 0.709121 0.686894
0.25 0.5 202.412 0.827634 0.759193
0.25 0.5 190.57 0.76919 0.673923
0.25 0.5 200.862 0.77494 0.747598
0.25 0.5 103.273 0.616656 0.238943
0.25 0.5 155.469 0.474156 0.462227
0.25 0.5 146.777 0.418331 0.41822
0.25 0.5 133.395 0.609431 0.356186
0.25 0.5 161.994 0.637784 0.497322
0.25 0.5 165.986 0.850503 0.519698
0.25 0.5 69.0677 0.899349 0.136654
0.25 0.5 186.272 0.651566 0.644821
0.25 0.5 181.568 0.679181 0.614034
0.25 0.5 203.284 0.948475 0.765773
0.25 0.5 161.404 0.558506 0.494072
0.25 0.5 197.33 0.760126 0.721672
0.25 0.5 170.866 0.578556 0.548023
0.25 0.5 153.761 0.922389 0.453337
0.25 0.5 120.921 1.00595 0.304111
0.25 0.5 260.143 1.3514 1.29745
0.25 0.5 193.891 0.783704 0.697075
0.25 0.5 194.093 0.699866 0.698502
0.25 0.5 192.264 0.839302 0.685664
0.25 0.5 169.318 0.999263 0.538922
0.25 0.5 235.402 1.03987 1.03984
0.25 0.5 257.79 1.34939 1.27104
0.25 0.5 169.192 0.624183 0.538182
0.25 0.5 170.738 0.698918 0.547264
0.25 0.5 263.748 1.34959 1.3387
0.25 0.5 111.942 0.742513 0.269777
0.25 0.5 139.724 0.647305 0.384691
0.25 0.5 224.529 1.34984 0.93989
0.25 0.5 90.5907 0.6171 0.197615
0.25 0.5 173.632 0.564851 0.564566
0.25 0.5 123.306 0.364828 0.313664
0.25 0.5 81.4594 0.64547 0.170425
0.25 0.5 205.597 0.897405 0.783442
0.25 0.5 106.573 0.84671 0.250422
0.25 0.5 142.63 0.755234 0.398277
0.25 0.5 86.8422 0.689595 0.186205
0.25 0.5 151.894 0.635462 0.443759
0.25 0.5 180.248 0.791338 0.605596
0.25 0.5 178.185 0.618035 0.592576
0.25 0.5 83.156 0.678507 0.175323
0.25 0.5 107.471 1.35061 0.253598
0.25 0.5 155.826 0.704779 0.4641
0.25 0.5 215.633 0.939867 0.863686
0.25 0.5 136.373 0.799958 0.369416
0.25 0.5 220.095 0.909322 0.901301
0.25 0.5 218.626 0.892661 0.888782
0.25 0.5 216.349 0.872692 0.869646
0.25 0.5 184.305 0.640705 0.631808
0.25 0.5 120.536 0.606863 0.302587
0.25 0.5 158.771 0.795026 0.479759
0.25 0.5 108.088 0.550134 0.255795
0.25 0.5 229.996 1.07169 0.989181
0.25 0.5 180.265 0.611794 0.605702
0.25 0.5 179.22 0.685596 0.59908
0.25 0.5 183.902 1.35057 0.62917
0.25 0.5 202.068 0.952675 0.756609
0.25 0.5 196.019 0.712782 0.71222
0.25 0.5 196.957 0.719146 0.718971
0.25 0.5 144.007 0.714376 0.404825
0.25 0.5 120.781 0.608116 0.303556
0.25 0.5 108.883 0.291294 0.258644
0.25 0.5 146.531 0.654731 0.417018
0.25 0.5 227.358 1.34994 0.965154
0.25 0.5 215.368 1.23901 0.86149
0.25 0.5 206.988 0.837814 0.794217
0.25 0.5 116.214 0.800561 0.285796
0.25 0.5 209.445 0.820959 0.813518
0.25 0.5 264.397 1.35078 1.34624
0.25 0.5 110.78 0.659004 0.265516
0.25 0.5 204.734 0.945774 0.776812
