M1  Porb K  M2(actual) M2_min
0.25 0.5 219.698 1.03712 0.897905
0.25 0.5 260.165 1.34882 1.2977
0.25 0.5 129.213 0.787453 0.338136
0.25 0.5 101.938 0.947359 0.234385
0.25 0.5 222.929 1.00042 0.925821
0.25 0.5 149.778 0.437635 0.433069
0.25 0.5 12.5518 0.330217 0.0195241
0.25 0.5 124.472 0.319374 0.318402
0.25 0.5 141.789 1.34776 0.394313
0.25 0.5 29.2757 0.349844 0.0487758
0.25 0.5 259.918 1.35286 1.2949
0.25 0.5 116.182 0.371302 0.285675
0.25 0.5 112.632 0.727875 0.272325
0.25 0.5 183.153 0.84946 0.624282
0.25 0.5 131.609 0.363903 0.348403
0.25 0.5 201.975 1.34911 0.755913
0.25 0.5 258.309 1.35141 1.27683
0.25 0.5 167.447 1.35076 0.528065
0.25 0.5 127.343 0.427668 0.33026
0.25 0.5 131.842 0.600137 0.349412
0.25 0.5 37.1272 0.728166 0.0639316
0.25 0.5 171.056 0.567418 0.549151
0.25 0.5 44.2994 0.880892 0.0786474
0.25 0.5 214.27 0.858799 0.852446
0.25 0.5 177.669 1.35091 0.589352
0.25 0.5 120.466 0.814928 0.30231
0.25 0.5 196.768 0.725233 0.717607
0.25 0.5 64.2007 0.892333 0.124306
0.25 0.5 89.8943 0.673243 0.195468
0.25 0.5 205.952 0.833749 0.786183
0.25 0.5 135.067 0.508936 0.363575
0.25 0.5 220.549 1.07701 0.905193
0.25 0.5 206.318 0.815465 0.789016
0.25 0.5 101.869 0.614051 0.234151
0.25 0.5 135.503 0.374067 0.36552
0.25 0.5 96.2226 0.528464 0.215435
0.25 0.5 165.768 0.854425 0.518457
0.25 0.5 193.777 0.866388 0.696272
0.25 0.5 150.98 0.51923 0.439118
0.25 0.5 106.996 0.590412 0.251915
0.25 0.5 81.2086 0.365426 0.169707
0.25 0.5 164.597 0.544748 0.511835
0.25 0.5 150.235 0.438922 0.435364
0.25 0.5 180.874 0.854635 0.609587
0.25 0.5 75.184 0.368531 0.152892
0.25 0.5 85.2119 0.425168 0.181351
0.25 0.5 164.099 0.515645 0.509033
0.25 0.5 118.509 0.386763 0.294638
0.25 0.5 73.157 0.831399 0.14742
0.25 0.5 95.8711 0.438206 0.214298
0.25 0.5 124.042 0.33481 0.31665
0.25 0.5 138.493 0.380576 0.379031
0.25 0.5 159.617 0.486684 0.484326
0.25 0.5 97.8888 0.906688 0.220868
0.25 0.5 123.486 0.323557 0.314391
0.25 0.5 139.024 0.843128 0.381466
0.25 0.5 124.515 0.756583 0.318576
0.25 0.5 111.751 0.924539 0.269072
0.25 0.5 99.6115 0.352095 0.226563
0.25 0.5 122.046 0.466325 0.308595
0.25 0.5 129.54 0.717565 0.339526
0.25 0.5 185.672 0.768263 0.640832
0.25 0.5 261.776 1.34911 1.31601
0.25 0.5 196.322 1.07269 0.714395
0.25 0.5 107.836 0.5224 0.254899
0.25 0.5 264.47 1.34816 1.34708
0.25 0.5 150.259 0.771664 0.435481
0.25 0.5 229.757 1.03254 0.986993
0.25 0.5 170.573 0.568183 0.546295
0.25 0.5 202.963 1.01388 0.763345
0.25 0.5 186.767 0.64914 0.648122
0.25 0.5 166.616 0.535218 0.523295
0.25 0.5 144.494 0.407425 0.407159
0.25 0.5 215.958 0.952873 0.866388
0.25 0.5 112.876 0.551423 0.27323
0.25 0.5 199.401 0.73699 0.736791
0.25 0.5 83.0063 0.307058 0.174888
0.25 0.5 216.489 0.963611 0.870811
0.25 0.5 110.876 0.313704 0.265864
0.25 0.5 224.108 1.00774 0.936175
0.25 0.5 236.252 1.06436 1.04799
0.25 0.5 141.445 0.419817 0.392698
0.25 0.5 238.616 1.07098 1.07088
0.25 0.5 184.921 0.99833 0.635864
0.25 0.5 103.447 0.390462 0.23954
0.25 0.5 122.048 0.708187 0.3086
0.25 0.5 214.873 0.905938 0.857401
0.25 0.5 112.533 0.842043 0.271958
0.25 0.5 207.864 1.00811 0.801056
0.25 0.5 259.827 1.34871 1.29387
0.25 0.5 128.344 0.339712 0.334462
0.25 0.5 196.004 0.930277 0.712109
0.25 0.5 16.2849 0.373739 0.0257174
0.25 0.5 165.971 0.862047 0.519612
0.25 0.5 199.38 0.877089 0.736635
0.25 0.5 96.7426 0.907591 0.217122
0.25 0.5 222.421 1.05957 0.921392
0.25 0.5 163.904 0.686809 0.507942
0.25 0.5 213.352 0.853404 0.844929
0.25 0.5 105.746 0.374412 0.247515
