M2_min P(M2_min)
0 0
0.0075 0.267048
0.015 0.523971
0.0225 0.771468
0.03 1.01017
0.0375 1.24066
0.045 1.46345
0.0525 1.67902
0.06 1.8878
0.0675 2.0902
0.075 2.28658
0.0825 2.47727
0.09 2.66258
0.0975 2.84281
0.105 3.01822
0.1125 3.18904
0.12 3.35552
0.1275 3.51786
0.135 3.67626
0.1425 3.83091
0.15 3.98197
0.1575 4.12961
0.165 4.27397
0.1725 4.41521
0.18 4.55344
0.1875 4.68881
0.195 4.82141
0.2025 4.95137
0.21 5.07879
0.2175 5.20377
0.225 5.32639
0.2325 5.44676
0.24 5.56494
0.2475 5.68102
0.255 5.79507
0.2625 5.90718
0.27 6.01739
0.2775 6.12578
0.285 6.2324
0.2925 6.33732
0.3 6.44059
0.3075 6.45645
0.315 6.46949
0.3225 6.47885
0.33 6.4875
0.3375 6.49357
0.345 6.49632
0.3525 6.49667
0.36 6.4938
0.3675 6.4795
0.375 6.49454
0.3825 6.47418
0.39 6.4611
0.3975 6.45353
0.405 6.42927
0.4125 6.42536
0.42 6.40498
0.4275 6.3884
0.435 6.36648
0.4425 6.34481
0.45 6.32161
0.4575 6.29592
0.465 6.2688
0.4725 6.23935
0.48 6.21033
0.4875 6.17993
0.495 6.14738
0.5025 6.11353
0.51 6.07888
0.5175 6.04213
0.525 6.00548
0.5325 5.9669
0.54 5.92716
0.5475 5.88676
0.555 5.84442
0.5625 5.80231
0.57 5.75841
0.5775 5.71347
0.585 5.668
0.5925 5.62137
0.6 5.57378
0.6075 5.52516
0.615 5.47562
0.6225 5.42564
0.63 5.37462
0.6375 5.32273
0.645 5.2699
0.6525 5.21624
0.66 5.16225
0.6675 5.10728
0.675 5.05154
0.6825 4.99494
0.69 4.9376
0.6975 4.87998
0.705 4.82148
0.7125 4.76228
0.72 4.70228
0.7275 4.64192
0.735 4.58072
0.7425 4.51902
0.75 4.45673
0.7575 4.3936
0.765 4.33022
0.7725 4.26607
0.78 4.20146
0.7875 4.13627
0.795 4.0704
0.8025 4.00427
0.81 3.93742
0.8175 3.87016
0.825 3.80238
0.8325 3.73394
0.84 3.6653
0.8475 3.59599
0.855 3.5263
0.8625 3.45614
0.87 3.38545
0.8775 3.31442
0.885 3.24284
0.8925 3.17094
0.9 3.09859
0.9075 3.02574
0.915 2.95259
0.9225 2.87893
0.93 2.80497
0.9375 2.73061
0.945 2.65577
0.9525 2.58067
0.96 2.50509
0.9675 2.42923
0.975 2.353
0.9825 2.27633
0.99 2.19942
0.9975 2.12217
1.005 2.04444
1.0125 1.96648
1.02 1.8881
1.0275 1.80951
1.035 1.7306
1.0425 1.65137
1.05 1.57171
1.0575 1.49171
1.065 1.41155
1.0725 1.33111
1.08 1.25036
1.0875 1.16917
1.095 1.08771
1.1025 1.03445
1.11 1.03765
1.1175 1.04084
1.125 1.04401
1.1325 1.04717
1.14 1.05031
1.1475 1.05343
1.155 1.05654
1.1625 1.05963
1.17 1.06271
1.1775 1.06577
1.185 1.06882
1.1925 1.07185
1.2 1.07487
1.2075 1.07788
1.215 1.08087
1.2225 1.08384
1.23 1.0868
1.2375 1.08975
1.245 1.09269
1.2525 1.09561
1.26 1.09852
1.2675 1.10141
1.275 1.10429
1.2825 1.10716
1.29 1.11002
1.2975 1.11286
1.305 1.11569
1.3125 1.11851
1.32 1.12132
1.3275 1.12411
1.335 1.12689
1.3425 1.12966
1.35 0
1.3575 0
1.365 0
1.3725 0
1.38 0
1.3875 0
1.395 0
1.4025 0
1.41 0
1.4175 0
