mu_1 sd_1 w_1 mu_2 sd_2 w_2 w_NS
0 0 0.649731 0.32198 0.974882 0.0251183 -6.57064
0 1 0.643181 0.328524 0.975904 0.0240959 -6.56997
0 2 0.642721 0.329743 0.958268 0.041732 -6.25723
0 3 0.642721 0.329743 0.958268 0.041732 -6.25723
0 4 0.659765 0.321217 0.953995 0.0460049 -6.2137
0 5 0.682009 0.314273 0.960244 0.0397564 -6.28018
0 6 0.68912 0.30924 0.952982 0.0470178 -6.21862
0 7 0.681702 0.311125 0.960266 0.0397342 -6.28999
0 8 0.685186 0.312037 0.9785 0.0214999 -6.60608
0 9 0.685186 0.312037 0.9785 0.0214999 -6.60608
0 10 0.678693 0.333694 0.978722 0.0212779 -6.48137
0 11 0.678978 0.335542 0.979837 0.0201635 -6.49209
0 12 0.669473 0.325769 0.983277 0.0167227 -6.67012
0 13 0.678883 0.318648 0.975296 0.0247039 -6.50209
0 14 0.690039 0.314608 0.972652 0.0273481 -6.45073
0 15 0.677364 0.302894 0.965298 0.034702 -6.41134
0 16 0.688906 0.30023 0.962039 0.0379606 -6.35013
0 17 0.670591 0.297948 0.964811 0.035189 -6.45561
0 18 0.666597 0.313889 0.967033 0.0329668 -6.40365
0 19 0.649778 0.315622 0.972522 0.0274785 -6.5682
0 20 0.649778 0.315622 0.972522 0.0274785 -6.5682
0 21 0.699167 0.317038 0.983763 0.0162369 -6.65363
0 22 0.673848 0.322654 0.981617 0.0183829 -6.63547
0 23 0.673848 0.322654 0.981617 0.0183829 -6.63547
0 24 0.663866 0.33064 0.974344 0.0256559 -6.44933
0 25 0.658144 0.324302 0.993058 0.006942 -7.12342
0 26 0.671214 0.319948 0.990551 0.00944887 -6.97719
0 27 0.687178 0.337608 0.995954 0.0040464 -6.85049
0 28 0.68996 0.325901 0.987103 0.0128972 -6.69368
0 29 0.704694 0.322131 0.985105 0.0148954 -6.63449
0 30 0.704694 0.322131 0.985105 0.0148954 -6.63449
0 31 0.704694 0.322131 0.985105 0.0148954 -6.63449
0 32 0.704694 0.322131 0.985105 0.0148954 -6.63449
0 33 0.709307 0.30799 0.97766 0.0223396 -6.56609
0 34 0.702079 0.300929 0.969672 0.0303282 -6.46375
0 35 0.701667 0.292575 0.968594 0.031406 -6.49606
0 36 0.721208 0.289028 0.97044 0.0295601 -6.53101
0 37 0.721208 0.289028 0.97044 0.0295601 -6.53101
0 38 0.702698 0.275544 0.973842 0.0261579 -6.78573
0 39 0.698045 0.260712 0.974081 0.0259185 -7.02813
0 40 0.698045 0.260712 0.974081 0.0259185 -7.02813
0 41 0.694157 0.247169 0.96689 0.0331099 -7.00044
0 42 0.694157 0.247169 0.96689 0.0331099 -7.00044
0 43 0.667814 0.256496 0.956389 0.043611 -6.71254
0 44 0.667814 0.256496 0.956389 0.043611 -6.71254
0 45 0.652494 0.25837 0.955962 0.0440378 -6.78821
0 46 0.680763 0.245929 0.94428 0.0557203 -6.49668
0 47 0.652178 0.237087 0.943649 0.0563508 -6.81281
0 48 0.652178 0.237087 0.943649 0.0563508 -6.81281
0 49 0.652178 0.237087 0.943649 0.0563508 -6.81281
0 50 0.643061 0.223596 0.946059 0.0539412 -7.2626
0 51 0.643061 0.223596 0.946059 0.0539412 -7.2626
0 52 0.639272 0.218662 0.95075 0.0492495 -7.61612
0 53 0.65635 0.22262 0.947448 0.0525518 -7.16967
0 54 0.666536 0.236193 0.958531 0.0414686 -7.13957
0 55 0.650222 0.241278 0.950105 0.0498946 -6.93568
0 56 0.640418 0.26657 0.942671 0.0573293 -6.46445
0 57 0.612488 0.266784 0.939322 0.060678 -6.59631
0 58 0.617857 0.28367 0.955747 0.0442535 -6.69194
0 59 0.606572 0.277666 0.948341 0.0516593 -6.68723
0 60 0.606572 0.277666 0.948341 0.0516593 -6.68723
0 61 0.600647 0.284994 0.955793 0.0442069 -6.82333
0 62 0.600647 0.284994 0.955793 0.0442069 -6.82333
0 63 0.600647 0.284994 0.955793 0.0442069 -6.82333
0 64 0.600647 0.284994 0.955793 0.0442069 -6.82333
0 65 0.600647 0.284994 0.955793 0.0442069 -6.82333
0 66 0.6313 0.30029 0.953719 0.0462814 -6.38825
0 67 0.622233 0.29681 0.954947 0.0450533 -6.49079
0 68 0.591551 0.280967 0.932185 0.067815 -6.46625
0 69 0.591551 0.280967 0.932185 0.067815 -6.46625
0 70 0.575318 0.276473 0.915468 0.0845316 -6.43529
0 71 0.575318 0.276473 0.915468 0.0845316 -6.43529
0 72 0.554108 0.291241 0.912494 0.0875064 -6.42298
0 73 0.554108 0.291241 0.912494 0.0875064 -6.42298
0 74 0.560519 0.300289 0.904104 0.095896 -6.27972
0 75 0.584211 0.303093 0.912685 0.0873153 -6.18538
0 76 0.576124 0.310723 0.905385 0.0946152 -6.17764
0 77 0.589034 0.308693 0.913727 0.0862729 -6.15201
0 78 0.564298 0.330774 0.918394 0.0816059 -6.19548
0 79 0.586579 0.340389 0.913937 0.0860627 -6.14157
0 80 0.567073 0.346856 0.918144 0.0818556 -6.17572
0 81 0.567073 0.346856 0.918144 0.0818556 -6.17572
0 82 0.599058 0.331575 0.896943 0.103057 -6.15789
0 83 0.621039 0.322144 0.90734 0.0926601 -6.09422
0 84 0.629118 0.314301 0.904092 0.0959083 -6.08375
0 85 0.617797 0.305412 0.893575 0.106425 -6.1004
0 86 0.617797 0.305412 0.893575 0.106425 -6.1004
0 87 0.617646 0.312994 0.898998 0.101002 -6.09766
0 88 0.65589 0.299232 0.9085 0.0915 -6.0551
0 89 0.646356 0.293727 0.899825 0.100175 -6.056
0 90 0.618009 0.300882 0.900276 0.0997244 -6.08269
0 91 0.61788 0.299318 0.899425 0.100575 -6.08373
0 92 0.602645 0.303249 0.886379 0.113621 -6.13901
0 93 0.609993 0.306981 0.873607 0.126393 -6.19862
0 94 0.609993 0.306981 0.873607 0.126393 -6.19862
0 95 0.61851 0.307992 0.874839 0.125161 -6.19211
0 96 0.652223 0.315285 0.873362 0.126638 -6.27529
0 97 0.641798 0.303658 0.87897 0.12103 -6.16237
0 98 0.641798 0.303658 0.87897 0.12103 -6.16237
0 99 0.652603 0.308014 0.894124 0.105876 -6.11491
0 100 0.658251 0.31503 0.89277 0.10723 -6.161
0 101 0.643562 0.324677 0.884882 0.115118 -6.22843
0 102 0.627385 0.32082 0.897622 0.102378 -6.12204
0 103 0.654786 0.327487 0.883515 0.116485 -6.28203
0 104 0.69369 0.319389 0.888355 0.111645 -6.33529
0 105 0.665702 0.321767 0.906371 0.0936292 -6.14805
0 106 0.697859 0.314732 0.901556 0.098444 -6.2419
0 107 0.697859 0.314732 0.901556 0.098444 -6.2419
0 108 0.694072 0.314082 0.900356 0.0996441 -6.22859
0 109 0.694072 0.314082 0.900356 0.0996441 -6.22859
0 110 0.670539 0.309336 0.894976 0.105024 -6.15242
0 111 0.647244 0.303014 0.888606 0.111394 -6.11506
0 112 0.641432 0.308398 0.882915 0.117085 -6.15837
0 113 0.668062 0.290542 0.862403 0.137597 -6.25947
0 114 0.668062 0.290542 0.862403 0.137597 -6.25947
0 115 0.627972 0.2954 0.880215 0.119785 -6.12667
0 116 0.608871 0.282469 0.878956 0.121044 -6.14962
0 117 0.601922 0.282457 0.868452 0.131548 -6.20398
0 118 0.569844 0.285583 0.887817 0.112183 -6.2764
0 119 0.544482 0.295007 0.87882 0.12118 -6.37218
0 120 0.541081 0.307353 0.877997 0.122003 -6.35384
0 121 0.524238 0.303831 0.88393 0.11607 -6.44016
0 122 0.541324 0.293083 0.880116 0.119884 -6.39597
0 123 0.522978 0.286362 0.868562 0.131438 -6.55697
0 124 0.531168 0.285243 0.870594 0.129406 -6.50723
0 125 0.518128 0.295328 0.892459 0.107541 -6.54198
0 126 0.518128 0.295328 0.892459 0.107541 -6.54198
0 127 0.48557 0.29867 0.893024 0.106976 -6.76793
0 128 0.483369 0.281335 0.894134 0.105866 -7.01002
0 129 0.483369 0.281335 0.894134 0.105866 -7.01002
0 130 0.493309 0.283667 0.9085 0.0914996 -7.01713
0 131 0.493309 0.283667 0.9085 0.0914996 -7.01713
0 132 0.493309 0.283667 0.9085 0.0914996 -7.01713
0 133 0.493309 0.283667 0.9085 0.0914996 -7.01713
0 134 0.44251 0.296873 0.888646 0.111354 -7.15853
0 135 0.427162 0.302068 0.899512 0.100488 -7.31716
0 136 0.436662 0.297589 0.903741 0.0962589 -7.3355
0 137 0.465436 0.314689 0.875374 0.124626 -6.76443
0 138 0.45597 0.315084 0.88888 0.11112 -6.83262
0 139 0.483193 0.316273 0.905729 0.0942711 -6.67563
0 140 0.483193 0.316273 0.905729 0.0942711 -6.67563
0 141 0.510961 0.327941 0.900663 0.0993371 -6.40537
0 142 0.524228 0.330794 0.887612 0.112388 -6.35703
0 143 0.500183 0.350854 0.879931 0.120069 -6.46969
0 144 0.480145 0.371641 0.879675 0.120325 -6.56125
0 145 0.464663 0.371838 0.890389 0.109611 -6.53802
0 146 0.480607 0.367185 0.905281 0.0947187 -6.42751
0 147 0.456663 0.354118 0.898654 0.101346 -6.57963
0 148 0.483754 0.366976 0.881987 0.118013 -6.52349
0 149 0.441834 0.366203 0.883937 0.116063 -6.66908
0 150 0.439778 0.364819 0.90108 0.0989204 -6.62288
0 151 0.412858 0.380826 0.902324 0.097676 -6.6942
0 152 0.442013 0.387156 0.922055 0.077945 -6.5252
0 153 0.449386 0.386218 0.924727 0.0752729 -6.50109
0 154 0.401245 0.389894 0.927385 0.072615 -6.72846
0 155 0.383471 0.407085 0.932655 0.0673453 -6.73562
0 156 0.360705 0.408345 0.917389 0.0826109 -6.81072
0 157 0.380223 0.397527 0.928664 0.0713359 -6.79834
0 158 0.402175 0.368107 0.916696 0.0833038 -6.84047
0 159 0.429669 0.364715 0.907 0.0929995 -6.67168
0 160 0.431775 0.366175 0.890768 0.109232 -6.68512
0 161 0.44558 0.376122 0.892277 0.107723 -6.59764
0 162 0.444057 0.37292 0.882637 0.117363 -6.66057
0 163 0.452664 0.378312 0.88193 0.11807 -6.63422
0 164 0.453104 0.38927 0.868727 0.131273 -6.7649
0 165 0.453104 0.38927 0.868727 0.131273 -6.7649
0 166 0.453104 0.38927 0.868727 0.131273 -6.7649
0 167 0.449557 0.387179 0.856982 0.143018 -6.88946
0 168 0.455881 0.388523 0.845701 0.154299 -7.00756
0 169 0.44534 0.379059 0.834769 0.165231 -7.13268
0 170 0.416386 0.372274 0.831993 0.168007 -7.25658
0 171 0.394637 0.368644 0.845093 0.154907 -7.21176
0 172 0.387001 0.364798 0.836155 0.163845 -7.35284
0 173 0.392242 0.363681 0.831597 0.168403 -7.37582
0 174 0.361799 0.372118 0.842033 0.157967 -7.42486
0 175 0.371755 0.386127 0.849236 0.150764 -7.27733
0 176 0.344679 0.382044 0.847497 0.152503 -7.44815
0 177 0.319106 0.369915 0.838946 0.161054 -7.7389
0 178 0.319106 0.369915 0.838946 0.161054 -7.7389
0 179 0.298292 0.360684 0.853881 0.146119 -7.80542
0 180 0.244397 0.361258 0.856962 0.143038 -8.22888
0 181 0.244397 0.361258 0.856962 0.143038 -8.22888
0 182 0.249824 0.350449 0.845495 0.154505 -8.38682
