Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 1 0.62508 0.2307 0.97588 0.024117 3.0189 
1 2 0.59989 0.22507 0.99954 0.0004625 2.7968 
1 3 0.62247 0.22234 0.99024 0.0097566 3.1395 
1 4 0.5901 0.24228 0.98302 0.016981 2.7586 
1 5 0.57882 0.24456 0.98516 0.014838 2.6321 
1 6 0.57882 0.24456 0.98516 0.014838 2.6321 
1 7 0.58935 0.25237 0.98816 0.011838 2.9001 
1 8 0.58935 0.25237 0.98816 0.011838 2.9001 
1 9 0.58688 0.26345 0.97904 0.020963 2.7331 
1 10 0.58688 0.26345 0.97904 0.020963 2.7331 
1 11 0.58347 0.26584 0.98193 0.018065 2.7574 
1 12 0.57894 0.26391 0.99181 0.0081923 2.8805 
1 13 0.58241 0.26272 0.98835 0.011649 2.8609 
1 14 0.58241 0.26272 0.98835 0.011649 2.8609 
1 15 0.59445 0.26209 0.98667 0.013327 2.96 
1 16 0.60597 0.27157 0.99151 0.008495 3.1291 
1 17 0.62612 0.26332 0.97826 0.021743 2.9555 
1 18 0.65157 0.24286 0.98047 0.019526 3.2338 
1 19 0.67135 0.23442 0.97132 0.028676 3.0937 
1 20 0.63386 0.24381 0.97388 0.026124 3.0176 
1 21 0.63386 0.24381 0.97388 0.026124 3.0176 
1 22 0.64268 0.23114 0.97401 0.025986 3.1136 
1 23 0.67676 0.23952 0.98207 0.017932 3.2995 
1 24 0.65046 0.2427 0.99447 0.0055264 3.5418 
1 25 0.65046 0.2427 0.99447 0.0055264 3.5418 
1 26 0.65046 0.2427 0.99447 0.0055264 3.5418 
1 27 0.6481 0.22217 0.99395 0.0060541 3.5034 
1 28 0.6481 0.22217 0.99395 0.0060541 3.5034 
1 29 0.63264 0.24409 0.9997 0.00029944 3.5327 
1 30 0.63048 0.25048 0.99749 0.0025146 3.4736 
1 31 0.6437 0.23209 0.99102 0.0089811 3.451 
1 32 0.64395 0.22404 0.992 0.0080005 3.4441 
1 33 0.62321 0.22946 0.98193 0.018074 3.098 
1 34 0.66478 0.23408 0.96977 0.03023 3.0622 
1 35 0.66143 0.22172 0.98533 0.014665 3.4565 
1 36 0.64358 0.24064 0.98933 0.010666 3.4105 
1 37 0.69372 0.2444 0.99259 0.0074117 3.443 
1 38 0.72107 0.22193 0.98326 0.016743 3.2875 
1 39 0.70083 0.2165 0.97745 0.022547 3.3177 
1 40 0.73214 0.21464 0.98157 0.018429 3.2237 
1 41 0.73214 0.21464 0.98157 0.018429 3.2237 
1 42 0.72627 0.19854 0.97746 0.022539 3.2396 
1 43 0.72627 0.19854 0.97746 0.022539 3.2396 
1 44 0.7596 0.16917 0.96604 0.033958 2.8067 
1 45 0.74177 0.15307 0.95471 0.04529 2.6137 
1 46 0.74645 0.15594 0.94919 0.050815 2.5024 
1 47 0.72356 0.15401 0.9547 0.045296 2.6717 
1 48 0.70562 0.15769 0.96842 0.031579 2.8738 
1 49 0.74735 0.15851 0.9788 0.021199 3.0809 
1 50 0.74178 0.16592 0.97836 0.021638 3.0942 
1 51 0.76506 0.14609 0.98742 0.01258 2.9502 
1 52 0.77662 0.15678 0.99439 0.0056055 3.1713 
1 53 0.76235 0.15492 0.99838 0.0016178 3.2912 
1 54 0.76235 0.15492 0.99838 0.0016178 3.2912 
1 55 0.77373 0.14727 0.99092 0.0090814 2.9892 
1 56 0.73325 0.14558 0.99977 0.00023151 2.8742 
1 57 0.73325 0.14558 0.99977 0.00023151 2.8742 
1 58 0.7149 0.13453 0.99587 0.0041258 1.9914 
1 59 0.7149 0.13453 0.99587 0.0041258 1.9914 
1 60 0.69425 0.13977 0.97838 0.02162 2.2212 
1 61 0.69425 0.13977 0.97838 0.02162 2.2212 
1 62 0.70043 0.14619 0.99704 0.0029627 2.3087 
1 63 0.70043 0.14619 0.99704 0.0029627 2.3087 
1 64 0.73522 0.15364 0.99448 0.0055245 3.1693 
1 65 0.70582 0.14813 0.99681 0.0031922 2.5466 
1 66 0.72045 0.136 0.98714 0.012857 2.3728 
1 67 0.74317 0.13827 0.98667 0.013326 2.6968 
1 68 0.7901 0.14591 0.96915 0.030855 2.4087 
1 69 0.78307 0.15236 0.96718 0.032816 2.3751 
1 70 0.84063 0.16226 0.96812 0.031881 1.3916 
1 71 0.8407 0.16532 0.96445 0.035547 1.275 
1 72 0.8407 0.16532 0.96445 0.035547 1.275 
1 73 0.82731 0.1662 0.98224 0.017759 2.0553 
1 74 0.82154 0.1594 0.9798 0.020196 2.1547 
1 75 0.85025 0.16019 0.98551 0.014493 1.5853 
1 76 0.85278 0.16986 0.99146 0.0085377 1.5905 
1 77 0.85278 0.16986 0.99146 0.0085377 1.5905 
1 78 0.85278 0.16986 0.99146 0.0085377 1.5905 
1 79 0.85464 0.2002 0.99747 0.0025345 1.3122 
1 80 0.83403 0.19887 0.99721 0.0027913 1.9265 
1 81 0.83403 0.19887 0.99721 0.0027913 1.9265 
1 82 0.83403 0.19887 0.99721 0.0027913 1.9265 
1 83 0.82379 0.21234 0.99176 0.0082357 1.8478 
1 84 0.80661 0.22338 0.99828 0.0017202 2.2604 
1 85 0.80661 0.22338 0.99828 0.0017202 2.2604 
1 86 0.80959 0.21359 0.99244 0.0075576 2.2019 
