Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 1 0.62001 0.21655 0.8868 0.1132 -6.584 
1 2 0.58903 0.22406 0.89206 0.10794 -6.7956 
1 3 0.58903 0.22406 0.89206 0.10794 -6.7956 
1 4 0.58903 0.22406 0.89206 0.10794 -6.7956 
1 5 0.58006 0.22874 0.879 0.121 -6.6994 
1 6 0.61519 0.22799 0.89801 0.10199 -6.5503 
1 7 0.63425 0.23451 0.91187 0.088131 -6.4523 
1 8 0.61802 0.24171 0.91856 0.081443 -6.5643 
1 9 0.63617 0.23525 0.92487 0.075131 -6.6024 
1 10 0.63617 0.23525 0.92487 0.075131 -6.6024 
1 11 0.64203 0.23989 0.91995 0.08005 -6.4237 
1 12 0.64203 0.23989 0.91995 0.08005 -6.4237 
1 13 0.6389 0.24183 0.93397 0.066031 -6.6388 
1 14 0.62636 0.23722 0.93103 0.068968 -6.7719 
1 15 0.62206 0.25493 0.94672 0.053275 -6.8682 
1 16 0.67216 0.25784 0.95276 0.047238 -6.5781 
1 17 0.6657 0.24946 0.94817 0.051831 -6.6224 
1 18 0.6657 0.24946 0.94817 0.051831 -6.6224 
1 19 0.6657 0.24946 0.94817 0.051831 -6.6224 
1 20 0.65769 0.25292 0.93834 0.061659 -6.4371 
1 21 0.62329 0.25071 0.9375 0.062503 -6.7081 
1 22 0.65346 0.25173 0.92439 0.075606 -6.2833 
1 23 0.68649 0.2519 0.90904 0.090957 -6.094 
1 24 0.68173 0.25762 0.9033 0.0967 -6.0684 
1 25 0.72612 0.26251 0.91049 0.089511 -6.1434 
1 26 0.74082 0.26897 0.90932 0.090679 -6.2196 
1 27 0.73285 0.25623 0.9062 0.093804 -6.1646 
1 28 0.73285 0.25623 0.9062 0.093804 -6.1646 
1 29 0.73607 0.2746 0.91198 0.088017 -6.2069 
1 30 0.73276 0.27765 0.90561 0.09439 -6.2148 
1 31 0.75216 0.28997 0.89673 0.10327 -6.4318 
1 32 0.75216 0.28997 0.89673 0.10327 -6.4318 
1 33 0.75435 0.30224 0.91215 0.087847 -6.4421 
